category,pattern_id,title,body,chara_1_str,chara_1_val,chara_2_str,chara_2_val,chara_3_str,chara_3_val,chara_4_str,chara_4_val,chara_5_str,chara_5_val,item_1,item_2,item_3,item_4,item_5
laptop,1,TITLE-A,BODY-A,CARACTER-1-1,8,CARACTER-1-2,8,CARACTER-1-3,5,CARACTER-1-4,5,CARACTER-1-5,4,72,98,90,88,48
laptop,2,TITLE-B,BODY-B,CARACTER-2-1,9,CARACTER-2-2,8,CARACTER-2-3,8,CARACTER-2-4,5,CARACTER-2-5,1,81,16,80,68,46
laptop,3,TITLE-C,BODY-C,CARACTER-3-1,8,CARACTER-3-2,3,CARACTER-3-3,2,CARACTER-3-4,1,CARACTER-3-5,1,24,23,98,54,64
laptop,4,TITLE-D,BODY-D,CARACTER-4-1,10,CARACTER-4-2,10,CARACTER-4-3,8,CARACTER-4-4,5,CARACTER-4-5,4,3,66,79,3,14
laptop,5,TITLE-E,BODY-E,CARACTER-5-1,10,CARACTER-5-2,8,CARACTER-5-3,5,CARACTER-5-4,4,CARACTER-5-5,3,78,61,62,100,53
laptop,6,TITLE-F,BODY-F,CARACTER-6-1,7,CARACTER-6-2,6,CARACTER-6-3,4,CARACTER-6-4,3,CARACTER-6-5,3,56,10,30,6,41
laptop,7,TITLE-G,BODY-G,CARACTER-7-1,10,CARACTER-7-2,6,CARACTER-7-3,4,CARACTER-7-4,3,CARACTER-7-5,1,92,5,38,2,7
laptop,8,TITLE-H,BODY-H,CARACTER-8-1,9,CARACTER-8-2,9,CARACTER-8-3,8,CARACTER-8-4,7,CARACTER-8-5,6,33,22,85,18,99
laptop,9,TITLE-I,BODY-I,CARACTER-9-1,7,CARACTER-9-2,7,CARACTER-9-3,6,CARACTER-9-4,4,CARACTER-9-5,1,99,14,66,43,27
laptop,10,TITLE-J,BODY-J,CARACTER-10-1,9,CARACTER-10-2,7,CARACTER-10-3,6,CARACTER-10-4,4,CARACTER-10-5,1,38,97,43,85,88
