option_id,category,question_id,content,next_question_id
1,laptop,1,買う,13
2,laptop,1,もう少し安い方がよい,2
3,laptop,1,もう少し高い方がよい,2
4,laptop,2,「性能」が重要,3
5,laptop,2,「値段」が重要,3
6,laptop,3,Windos派,4
7,laptop,3,Mac派,4
8,laptop,4,頻繁に外で使う,5
9,laptop,4,たまに外で使う,5
10,laptop,4,家でしか使わない,5
11,laptop,5,YES,6
12,laptop,5,NO,6
13,laptop,6,YES,7
14,laptop,6,NO,7
15,laptop,7,YES,8
16,laptop,7,NO,8
17,laptop,8,大量に保存する,9
18,laptop,8,少し保存する,9
19,laptop,8,ほとんどしない,10
20,laptop,9,長時間利用する,10
21,laptop,9,少し利用する,10
22,laptop,9,利用しない,10
23,laptop,10,1ポートで十分,11
24,laptop,10,2ポート以上必要,11
25,laptop,11,YES,12
26,laptop,11,NO,12
27,laptop,12,YES,0
28,laptop,12,NO,0
29,laptop,13,YES,2
30,laptop,13,NO,2
31,toiletpaper,14,YES,15
32,toiletpaper,14,NO,15
33,toiletpaper,15,YES,16
34,toiletpaper,15,NO,16
35,toiletpaper,16,YES,17
36,toiletpaper,16,NO,17
37,toiletpaper,17,YES,0
48,toiletpaper,17,NO,0
